GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43
1400000US12031010304,12031010304,"Census Tract 103.04, Duval County, Florida",2657,176,50671,6681,8.9,4.2,24345,2221,86.8,4.3,51289,5984,0.5,0.8,-,**,0,1.6,-,**,1.1,1.8,-,**,0,1.6,-,**,2.7,2.6,94297,213367,1.5,2.4,-,**,7.4,3.6,23552,2016,6.8,3.5,15758,6321,38.3,5.2,47188,11455,46.6,5.4,66194,9121,8.2,2.8,28704,11600,1947,234,59219,12374,47.9,8.1,55091,12319,52.1,8.1,65317,12761,64.8,8.5,80750,18591,31.4,7.5,33462,14951,3.7,3.8,31406,13438,710,213,25357,3948,53.5,18.9,20592,8441,49.2,18.1,21612,5571,4.4,6.9,-,**,46.5,18.9,36607,20431,34.5,16.6,35804,22151,12,12,47739,49134,45.8,(X),(X),(X),43.9,(X),(X),(X),50.8,(X),(X),(X)
1400000US12031010401,12031010401,"Census Tract 104.01, Duval County, Florida",1145,134,41344,15091,43.3,7.8,49063,11911,56.1,8.1,26316,34017,0,3.6,-,**,0,3.6,-,**,0,3.6,-,**,0.6,1.4,-,**,0,3.6,-,**,2,2.6,53438,20093,41.9,7.7,46750,12340,5,4.5,19688,42861,37.2,8.5,50500,23106,42.8,6.8,52054,14240,15,4.8,21698,6243,860,138,50351,12948,54.1,10.4,25781,38038,45.9,10.4,53533,13856,50.2,13.9,68750,15246,43.3,12.9,13750,7469,6.5,5.2,25179,12201,285,112,22228,12080,69.5,19.2,9880,18869,64.2,19.9,9700,13505,5.3,10,-,**,30.5,19.2,56563,25453,12.6,13.4,63750,36710,17.9,15.1,47125,39925,30,(X),(X),(X),32,(X),(X),(X),23.9,(X),(X),(X)
1400000US12031010402,12031010402,"Census Tract 104.02, Duval County, Florida",1944,149,33506,5922,45.4,7.6,34919,11753,48,6.2,30647,13444,1.5,1.9,66648,93807,0,2.2,-,**,0,2.2,-,**,3.5,4,27396,69617,1.5,1.9,30625,46706,7.3,5.7,36691,27396,44.7,7.6,34692,11538,12,6.3,14009,22395,39.5,11.3,23827,10598,38.5,9.9,45833,14415,10,2.4,51399,50401,1341,216,34754,8161,46.9,12,31250,14671,53.1,12,41964,25459,45,11.2,52230,18234,32.7,11.6,11534,1474,22.3,11.4,55215,53128,603,177,30360,10232,58.5,16.8,19957,11155,50.4,16.9,17845,8084,8.1,7.9,38304,7743,41.5,16.8,35147,10701,35.2,16.8,35245,11172,6.3,7.1,32262,26435,41.7,(X),(X),(X),45,(X),(X),(X),28.9,(X),(X),(X)
1400000US12031010500,12031010500,"Census Tract 105, Duval County, Florida",4968,225,54364,6002,41.9,3.8,49669,7311,55,3.7,58728,6835,0,0.9,-,**,0.7,0.7,43516,14339,0,0.9,-,**,0.9,1.4,-,**,1.4,1.3,59423,106457,2.1,1.5,46667,35362,41.1,3.8,49311,6122,1.6,1.6,42926,43517,43.7,5.1,54207,8256,43.4,5,61699,8758,11.4,2.1,27315,8612,3636,246,59291,3160,56.8,5.7,58837,4507,43.2,5.7,60455,8586,71.6,6.4,62080,11436,19.3,5.4,32060,12745,9.1,3.5,51375,22348,1332,248,38090,8371,48.3,10.9,29817,6130,36.4,10.3,23633,7304,11.9,8.2,75767,59808,51.7,10.9,44693,6287,48.6,11.1,43794,6361,3.1,2.8,73173,23312,40,(X),(X),(X),39.5,(X),(X),(X),40,(X),(X),(X)
1400000US12031010600,12031010600,"Census Tract 106, Duval County, Florida",2151,164,57334,5107,85.4,2.9,54120,4752,14.6,2.9,81225,11512,0,2,-,**,0,2,-,**,0,2,-,**,0,2,-,**,0,2,-,**,3.3,3.1,72500,1985,82,4.7,52852,5525,2.4,2.7,55469,10439,25.8,5.4,58000,11332,47.5,6.6,69205,17214,24.4,6,26705,9708,1539,142,70055,11441,28.7,7.3,72099,7733,71.3,7.3,63806,11765,83,6.2,73587,8258,12.4,5.6,43657,16498,4.5,2.8,41250,50640,612,176,24364,11427,43,16.2,18438,5196,43,16.2,18438,5196,0,6.7,-,**,57,16.2,38977,16001,49.8,16.9,34718,16223,7.2,6.9,54423,38002,31.4,(X),(X),(X),35.6,(X),(X),(X),20.8,(X),(X),(X)
1400000US12031010700,12031010700,"Census Tract 107, Duval County, Florida",2178,157,34262,5337,8.1,3.4,29583,20884,91.5,3.6,34493,7161,0,1.9,-,**,0,1.9,-,**,0,1.9,-,**,0,1.9,-,**,0.5,0.8,-,**,0.5,0.9,-,**,7.6,3.2,30536,20784,0.5,0.8,-,**,15.7,5.8,34141,16910,51.4,6.8,34485,12394,32.4,4.4,33689,11146,1373,195,53521,14928,18.6,7.6,52786,37932,81.4,7.6,54559,16293,50.3,10.1,69044,15105,38.2,9.4,34410,16128,11.5,7.6,29286,35911,805,201,22768,12278,74.2,10.5,23839,14694,71.2,10.5,25982,14272,3,3.6,-,**,25.8,10.5,21500,15341,25.8,10.5,21500,15341,0,5.1,-,**,43,(X),(X),(X),49.1,(X),(X),(X),32.5,(X),(X),(X)
1400000US12031010800,12031010800,"Census Tract 108, Duval County, Florida",1987,159,30478,4862,6.9,4.3,9542,76067,89.4,5.8,30618,4268,0.9,1.5,-,**,0,2.1,-,**,0,2.1,-,**,0.8,1.3,-,**,2.1,3.3,-,**,0.8,1.3,-,**,6.9,4.3,9542,76067,1.9,3,-,**,20,4.8,48309,32884,35.2,7.7,36615,11421,43,8.2,20185,5621,1120,168,36331,6885,37,8.5,38553,27552,63,8.5,36008,6310,54.7,11.4,48456,20882,39.9,10.8,31781,7768,5.4,5.4,75156,82174,867,189,18324,5086,59.4,12.8,14243,5125,53.2,14,13520,4534,6.2,5.1,36250,65635,40.6,12.8,24423,25499,38.9,12.7,22981,17249,1.7,2.8,-,**,39.2,(X),(X),(X),46.7,(X),(X),(X),29.5,(X),(X),(X)
1400000US12031010900,12031010900,"Census Tract 109, Duval County, Florida",1406,125,46747,5945,23.7,5.9,39335,10219,74.8,5.8,49943,5895,0,3,-,**,0.8,1.3,-,**,0,3,-,**,0,3,-,**,0.7,1.2,-,**,0.8,1.3,-,**,23.7,5.9,39335,10219,1.4,1.7,"2,500-",***,29.5,6.6,51169,6207,42.7,6.9,47284,8136,26.3,5,24527,13174,964,117,47439,7678,45.2,7.4,48917,6805,54.8,7.4,42778,12175,60.8,9.1,51855,5707,35.9,9.4,37422,7382,3.3,3.3,8636,47526,442,133,33636,11609,60,13.5,33125,24996,52.3,14.2,24009,15486,7.7,7.4,71250,76335,40,13.5,34659,16324,22.4,11.8,28295,28239,17.6,12.8,56333,34123,39.3,(X),(X),(X),47.3,(X),(X),(X),19.7,(X),(X),(X)
1400000US12031011000,12031011000,"Census Tract 110, Duval County, Florida",1617,120,38290,8522,33.5,5.4,31350,11998,61.3,5.3,39963,11461,0,2.6,-,**,0,2.6,-,**,0,2.6,-,**,0,2.6,-,**,5.2,3.2,25357,53661,0,2.6,-,**,33.5,5.4,31350,11998,2,1.7,"2,500-",***,38.3,5.3,50441,20245,34.9,4.5,41696,13580,24.8,3.5,28173,4992,979,137,45083,14551,42.4,10.4,37739,6823,57.6,10.4,51964,25118,48.3,10.3,72179,6711,44.2,12,32188,7232,7.5,6.5,26635,99757,638,147,28900,6291,56.4,13.2,30000,6391,46.4,12.1,30952,7222,10,9.5,17000,62113,43.6,13.2,25536,15801,32.9,12.7,21136,21371,10.7,9.4,60523,58172,36.5,(X),(X),(X),40.6,(X),(X),(X),26.2,(X),(X),(X)
1400000US12031011100,12031011100,"Census Tract 111, Duval County, Florida",1247,117,37118,4931,23.6,5.7,37375,18238,75.1,6.1,36930,5687,0,3.3,-,**,0,3.3,-,**,0,3.3,-,**,0,3.3,-,**,1.3,1.6,45278,89681,0,3.3,-,**,23.6,5.7,37375,18238,6.5,6.5,22569,22633,29.1,7.3,48750,30462,46.2,6.9,36737,6480,18.2,4.2,13487,10764,841,140,42356,7748,49.8,10.7,48015,22637,50.2,10.7,38038,7449,56.1,13.6,49559,22892,23.4,11.6,39208,12644,20.5,11.1,36563,12810,406,127,31452,2036,77.6,16.5,31403,17850,65.3,19.4,30128,37269,12.3,16.3,36563,923,22.4,16.5,31506,8248,19.7,16.3,31193,12398,2.7,4.2,-,**,44.3,(X),(X),(X),47.6,(X),(X),(X),33,(X),(X),(X)
1400000US12031011200,12031011200,"Census Tract 112, Duval County, Florida",1085,99,39142,4921,5.4,3,42969,13771,94.6,3,38920,5437,0,3.8,-,**,0,3.8,-,**,0,3.8,-,**,0,3.8,-,**,0,3.8,-,**,0,3.8,-,**,5.4,3,42969,13771,2.8,4,93500,10512,32.2,6.8,28482,13072,36.2,7.5,40665,5730,28.8,7.2,46875,18017,704,111,45500,13911,33.5,10.1,38971,20061,66.5,10.1,53627,7855,66.5,11.6,54878,12614,30.5,11.5,29435,10793,3,3.6,42386,23631,381,102,25594,5172,87.1,9.8,24756,5225,83.7,10.5,24360,4763,3.4,5.6,-,**,12.9,9.8,47969,40616,10,8.8,49688,23383,2.9,4.2,-,**,43.3,(X),(X),(X),37.4,(X),(X),(X),54.3,(X),(X),(X)
1400000US12031011300,12031011300,"Census Tract 113, Duval County, Florida",1146,102,21860,9265,2.1,1.9,33750,86182,97.9,1.9,21738,8630,0,3.6,-,**,0,3.6,-,**,0,3.6,-,**,0,3.6,-,**,0,3.6,-,**,0,3.6,-,**,2.1,1.9,33750,86182,6.3,4.9,12778,17394,29.3,8.1,20776,15736,38.7,7.1,30515,8878,25.7,5,19750,24751,737,116,28886,10270,40.3,10.4,11411,7694,59.7,10.4,56071,23161,36.2,9.8,70030,16925,52.6,10.8,18333,8967,11.1,9.3,28333,27512,409,113,15272,6342,74.3,14.1,17065,6709,74.3,14.1,17065,6709,0,9.9,-,**,25.7,14.1,12125,6063,22.7,13.5,11625,17055,2.9,4.6,-,**,43.3,(X),(X),(X),41.1,(X),(X),(X),47.2,(X),(X),(X)
1400000US12031011400,12031011400,"Census Tract 114, Duval County, Florida",967,72,34953,11841,2.6,3.9,-,**,97.4,3.9,35887,13595,0,4.3,-,**,0,4.3,-,**,0,4.3,-,**,0,4.3,-,**,0,4.3,-,**,2.6,3.9,-,**,0,4.3,-,**,0,4.3,-,**,19.9,6.4,34265,41318,34.1,8,49444,26703,46,7.4,30391,9726,694,85,56207,23261,17.9,7.4,41630,43109,82.1,7.4,56897,19504,46,11.9,66875,8685,44.7,11.6,35379,9696,9.4,7.4,63173,71981,273,90,30182,12017,78.8,19.2,23882,9361,78.8,19.2,23882,9361,0,14.4,-,**,21.2,19.2,31382,15858,21.2,19.2,31382,15858,0,14.4,-,**,47.4,(X),(X),(X),52.2,(X),(X),(X),29.7,(X),(X),(X)
1400000US12031011500,12031011500,"Census Tract 115, Duval County, Florida",1784,127,24692,2717,3.6,3.2,33548,16825,93.6,3.9,24731,2619,0,2.4,-,**,1.6,2.7,-,**,0.6,1,-,**,0,2.4,-,**,0.6,1.1,-,**,1.7,2.7,-,**,1.8,2,9306,91424,9.7,4.5,5809,11406,28.4,6.1,25781,18916,35.8,4.5,28401,3770,26.1,4.6,20375,8318,985,125,29836,5347,50.8,9.5,25938,8227,49.2,9.5,43274,18815,26.9,9.4,52212,21279,55.1,9.1,25469,4651,18,9.9,29647,13207,799,137,14339,4745,62.1,11.4,13160,3057,53.9,12,11866,2341,8.1,6.6,30772,11948,37.9,11.4,22125,9075,36.4,11.2,22756,11310,1.5,2.3,-,**,42.8,(X),(X),(X),46.3,(X),(X),(X),34.4,(X),(X),(X)
1400000US12031011600,12031011600,"Census Tract 116, Duval County, Florida",1743,137,19665,4572,0.6,1,-,**,98.4,1.3,19040,4671,0,2.4,-,**,0.6,0.9,-,**,0,2.4,-,**,0,2.4,-,**,0.4,0.7,-,**,0,2.4,-,**,0.6,1,-,**,2.1,2.1,13813,5928,36.9,6.5,18071,7451,29.3,6.3,26034,16688,31.7,4.3,16250,8917,1013,138,29250,8741,42.3,8.9,14496,9490,57.7,8.9,51000,18856,39.3,9.1,59167,10235,57.7,8.8,14353,5334,3.1,2.6,14438,68085,730,166,15514,3059,65.1,11.9,11832,3661,65.1,11.9,11832,3661,0,5.7,-,**,34.9,11.9,19219,7475,34.9,11.9,19219,7475,0,5.7,-,**,52,(X),(X),(X),57.4,(X),(X),(X),44.5,(X),(X),(X)
1400000US12031011700,12031011700,"Census Tract 117, Duval County, Florida",961,118,35565,5712,88,8.7,37024,5065,12,8.7,26336,22977,0,4.3,-,**,0,4.3,-,**,0,4.3,-,**,0,4.3,-,**,0,4.3,-,**,0,4.3,-,**,88,8.7,37024,5065,1.2,2.2,-,**,41.9,8.1,27949,5388,40.1,8.9,55212,12275,16.8,8.5,33024,18312,665,122,37125,7597,44.4,10.9,28613,2723,55.6,10.9,46759,19590,62.1,11.8,38631,3939,27.4,12.5,30952,16407,10.5,6.6,26667,40495,296,115,23750,16802,44.6,19.4,55278,41936,31.8,16.4,55556,64976,12.8,12.9,38958,52447,55.4,19.4,16768,10336,37.5,20.5,22898,16311,17.9,20.4,14077,12779,34,(X),(X),(X),27.4,(X),(X),(X),49,(X),(X),(X)
1400000US12031011800,12031011800,"Census Tract 118, Duval County, Florida",1180,124,40000,14385,48.4,8,40923,11512,39.1,7.7,24313,29515,1.2,1.8,-,**,1.1,1.8,-,**,0,3.5,-,**,9.6,6.9,57722,18631,0.7,1.3,-,**,9.6,6.9,57722,18631,48.4,8,40923,11512,1.1,1.7,-,**,40.9,10.4,45507,14768,39.2,10.6,33947,13482,18.8,3.8,29000,12739,796,149,44739,5041,45.9,12.7,46544,8627,54.1,12.7,42995,4612,42.8,13,44934,9089,41.3,14.8,46348,24243,15.8,10.2,42763,19697,384,128,18551,4324,77.3,13.9,19583,9736,48.7,17.9,18125,2939,28.6,18.9,46600,19571,22.7,13.9,10083,8718,22.7,13.9,10083,8718,0,10.5,-,**,45.4,(X),(X),(X),50.9,(X),(X),(X),34.1,(X),(X),(X)
1400000US12031011901,12031011901,"Census Tract 119.01, Duval County, Florida",2949,172,49864,5907,84.5,4,49049,5785,13.4,4.1,56016,25130,0,1.4,-,**,0.4,0.7,-,**,0,1.4,-,**,0.8,1.3,-,**,0.8,1.3,-,**,4.6,3.2,27981,54417,80.8,4.4,48967,5422,6.3,4.6,25368,19414,28.6,6,70000,13297,46.9,5.6,48125,6407,18.2,4.3,30592,18544,2151,202,55801,11388,43.9,6.8,68597,11875,56.1,6.8,47436,5313,84,6.5,60506,14782,14.5,6.4,45063,37096,1.5,1.5,61375,34684,798,193,31722,6768,48.6,12.6,31694,11941,36,12.1,31411,12689,12.7,8.6,43173,43364,51.4,12.6,31737,10177,39,11.7,31123,9828,12.4,9.1,36908,68262,42.4,(X),(X),(X),40.8,(X),(X),(X),39.3,(X),(X),(X)
1400000US12031011902,12031011902,"Census Tract 119.02, Duval County, Florida",3387,173,61340,6085,67.8,5.6,60729,10854,28,5.5,65962,12429,0.4,0.6,-,**,3.8,2.8,53750,30762,0,1.2,-,**,0,1.2,-,**,0,1.2,-,**,6.5,2.4,110217,91427,62.9,4.8,56507,9630,3.5,2,36827,37955,35.2,6,53797,11133,48.8,5.5,74091,17461,12.5,2.9,51250,19747,2570,191,67647,5805,55.3,6.2,64929,8969,44.7,6.2,74625,12491,78.7,6.3,77658,13959,17.2,6.1,41406,15922,4.1,3.5,20741,59163,817,183,33839,8055,53,12.5,33244,7993,39,14.1,33125,8322,14,9.8,50122,47569,47,12.5,36923,28640,39.7,13.8,31607,14809,7.3,7,76250,71403,32,(X),(X),(X),33.1,(X),(X),(X),28.6,(X),(X),(X)
1400000US12031011903,12031011903,"Census Tract 119.03, Duval County, Florida",1768,98,59939,2600,76.2,5.7,58780,3485,18.8,4.8,61500,14088,1.1,1.9,-,**,1.8,1.4,57222,35057,0,2.4,-,**,1.1,1.7,-,**,1,1.1,39135,4983,1.8,2,60461,30428,75.8,5.7,58902,3517,2.9,2.5,29085,7272,33.2,5.2,60716,1873,47.4,5.6,63415,7379,16.5,3.1,43920,9060,1343,111,61162,2281,37.6,6.4,57991,5469,62.4,6.4,64329,5212,67.2,8,67784,6569,25.9,6.2,43942,13267,6.9,4.4,74500,133888,425,109,42604,19361,58.6,13.3,27740,15357,46.6,12.3,19915,12034,12,10.1,83688,70493,41.4,13.3,60000,5894,38.6,13.2,60500,5430,2.8,3.7,16250,11481,23.4,(X),(X),(X),27.6,(X),(X),(X),10.1,(X),(X),(X)
1400000US12031012000,12031012000,"Census Tract 120, Duval County, Florida",1666,145,36577,4509,71.4,7.2,42181,5822,21.8,6.6,21667,12623,0,2.5,-,**,2.2,2.3,77750,102779,0,2.5,-,**,2.6,2.7,85647,106930,2,1.9,57750,78061,7.5,4.6,52014,18540,67.1,7.1,41569,6279,9.1,5.1,8043,8414,31.6,7,37253,14838,36.3,7.5,42589,10469,23,4.3,33317,9453,1232,160,40441,7777,45.9,8.2,28705,10442,54.1,8.2,46964,13097,57.6,9.6,48636,12254,33.8,8.9,28705,9737,8.5,5.3,40673,41165,434,133,33409,12715,72.6,16,36025,7393,56,16.9,33875,12944,16.6,11.9,71250,9614,27.4,16,23229,14597,24.7,15.5,17344,23660,2.8,4.3,-,**,25.9,(X),(X),(X),26.9,(X),(X),(X),23,(X),(X),(X)
1400000US12031012100,12031012100,"Census Tract 121, Duval County, Florida",500,81,45673,8527,58.6,12.2,42277,7472,27.2,9,58125,66794,0,8.1,-,**,5.6,6.1,53478,1581,0,8.1,-,**,8.6,7.8,9943,96182,0,8.1,-,**,9.2,8.3,20227,29147,56.4,12.4,43438,6976,0,8.1,-,**,31,13.5,42321,21436,44.4,12.7,32344,31434,24.6,7.5,53199,10084,353,77,42098,15503,28.9,17.3,63194,36335,71.1,17.3,40179,20305,48.7,20.5,48750,16727,40.8,21.8,52639,52326,10.5,5.2,14427,27158,147,64,46875,20357,28.6,21.7,19808,58007,28.6,21.7,19808,58007,0,24.7,-,**,71.4,21.7,48080,20148,71.4,21.7,48080,20148,0,24.7,-,**,39.4,(X),(X),(X),48.4,(X),(X),(X),15.6,(X),(X),(X)
1400000US12031012200,12031012200,"Census Tract 122, Duval County, Florida",2793,194,30305,3843,53.6,6,35978,5885,39.6,6.6,23875,5631,0.6,1,-,**,2.2,1.8,-,**,0,1.5,-,**,1.5,2,9153,71327,2.5,2.4,27756,19752,6.2,3,40521,15967,52.4,5.7,36612,6206,4.4,2.9,"2,500-",***,38,6.1,39875,12197,40.3,5.2,29775,7559,17.3,4.2,28333,4206,1610,217,30690,5561,65.8,8.1,24425,5745,34.2,8.1,40288,13804,45.7,9.7,46477,9671,47.8,9.9,20348,7215,6.6,4.2,51250,29461,1183,219,29217,5152,56.1,12,25167,14555,47.4,12,16182,13937,8.7,6.8,29393,32997,43.9,12,34018,10622,32.5,10.8,32000,13564,11.4,8.3,42868,17951,33.9,(X),(X),(X),38.1,(X),(X),(X),28.3,(X),(X),(X)
1400000US12031012300,12031012300,"Census Tract 123, Duval County, Florida",1469,114,37360,7574,79.6,6,43194,8261,15.5,5.4,25833,11414,0,2.8,-,**,0.5,0.8,-,**,0,2.8,-,**,1.4,2.3,-,**,2.9,3.4,"2,500-",***,3.5,3.7,26625,43901,78.8,6.3,42917,8102,5,2.8,30859,30036,35.8,6,35313,7852,42.8,5.6,52105,16583,16.4,3.4,30850,6554,884,116,43617,11541,36.2,8.9,38162,8636,63.8,8.9,50909,14768,53.4,11,75167,31836,24.3,9.4,33487,11626,22.3,9.4,36090,6236,585,118,26490,8703,52,10.9,21484,8596,38.6,11,20962,7976,13.3,8.4,43571,57775,48,10.9,31875,12189,30.9,11.4,28854,13212,17.1,9.3,60417,49304,31.1,(X),(X),(X),37.2,(X),(X),(X),19.5,(X),(X),(X)
1400000US12031012400,12031012400,"Census Tract 124, Duval County, Florida",1202,99,41979,9125,94.8,5,43250,10719,3.7,4.4,38295,22304,0,3.5,-,**,1.4,2.4,-,**,0,3.5,-,**,0,3.5,-,**,0,3.5,-,**,1.3,1.8,6818,48572,93.5,5.2,43917,11197,5,3.6,33804,20534,34.9,7.2,37993,11936,42.2,7.6,50352,11079,18,4.6,28409,15486,839,94,53237,16902,47.7,11.3,36389,11210,52.3,11.3,60491,7999,65.3,12,61650,4083,29.4,12.1,27621,11991,5.2,5,46771,15451,363,109,28750,5745,50.1,16.5,30000,22443,41.9,15.9,19250,15131,8.3,12.4,-,**,49.9,16.5,28239,9867,36.4,15.8,26452,5881,13.5,10.1,42031,14841,21.4,(X),(X),(X),22.1,(X),(X),(X),15.2,(X),(X),(X)
1400000US12031012500,12031012500,"Census Tract 125, Duval County, Florida",1570,141,37643,7889,68,7.4,49578,4020,25.5,7.2,21892,8166,3.9,3.5,107786,51744,0.8,1.2,-,**,0,2.7,-,**,0,2.7,-,**,1.8,2.9,-,**,5.3,3.8,28920,36131,65.5,7.5,49679,3872,7.3,4.6,26250,837,39.9,7.7,36381,12537,26.6,5.9,67375,12099,26.3,4.8,32853,3978,916,140,51193,6812,37.9,8.1,49297,13972,62.1,8.1,51960,14304,77.7,8.4,56210,19917,17.7,7.4,12339,25320,4.6,4.8,"2,500-",***,654,130,25634,5622,45.3,14,19412,6518,43.6,14.6,19142,3495,1.7,2.9,-,**,54.7,14,32731,10106,46.3,13.8,32344,10441,8.4,6.2,34464,32373,21.3,(X),(X),(X),16.5,(X),(X),(X),22.5,(X),(X),(X)
1400000US12031012601,12031012601,"Census Tract 126.01, Duval County, Florida",1315,140,38588,3263,50.6,5.3,48750,12957,47.7,5.7,33164,5868,0,3.2,-,**,0.6,0.9,"2,500-",***,0,3.2,-,**,1.1,1.9,-,**,0,3.2,-,**,1.7,2.3,40000,56994,49,5.2,48750,12853,13.9,5.7,27260,21508,42.7,8.4,33159,5890,28,6.5,62841,22611,15.4,3.4,45521,9632,696,147,42955,12323,38.9,11,33576,11728,61.1,11,59205,18761,54.2,12.3,64196,21349,31,12.6,35500,13213,14.8,9.3,37951,22069,619,147,32287,9143,64.6,13.2,38750,10288,47.2,12.8,31176,10775,17.4,10.2,43194,1789,35.4,13.2,21895,2197,33.1,13.3,21621,1734,2.3,3.6,-,**,44.6,(X),(X),(X),42.7,(X),(X),(X),46.7,(X),(X),(X)
1400000US12031012602,12031012602,"Census Tract 126.02, Duval County, Florida",1907,167,46279,6119,50.6,6.9,51744,6694,46.1,6,34125,15513,0,2.2,-,**,0.6,1,-,**,0,2.2,-,**,1.6,1.9,-,**,1.2,1.3,24792,125396,4.6,3.4,38289,46691,47.9,6.7,53534,6345,4.6,4,57768,41433,36.9,7.1,34018,10323,37.6,6.9,52945,5737,21,3.9,47037,16051,1211,174,52447,6224,43.9,8.3,41528,29317,56.1,8.3,56544,8205,59.5,10,63994,8246,34.6,9.4,23140,5724,5.9,4.6,52958,26663,696,180,33846,15456,51,16.7,26970,4423,39.4,15.5,26102,3141,11.6,9.8,33814,32286,49,16.7,45824,7695,37.6,15.8,42083,22919,11.4,9.5,53922,36052,35.1,(X),(X),(X),33.4,(X),(X),(X),38.1,(X),(X),(X)
1400000US12031012702,12031012702,"Census Tract 127.02, Duval County, Florida",1937,133,42873,5624,73.2,5.7,41313,5519,23.7,5.6,48523,10626,0,2.2,-,**,1.2,1.5,19375,16645,0,2.2,-,**,1.5,1.8,54375,8751,0.4,0.6,-,**,6.7,3.2,19594,29787,70.1,5.6,42247,6730,3.4,2.6,12969,15173,41.6,5.7,51944,4314,41.5,5.7,39276,8031,13.6,2.8,34554,19971,1328,153,49254,4849,54.7,8.1,49505,6891,45.3,8.1,48618,9929,74.3,8.5,54838,17726,23.6,8.5,26250,15837,2,1.9,48625,68949,609,152,21061,5026,59.3,15,20531,8872,49.3,14.3,20188,8751,10,6.7,26058,62441,40.7,15,32679,29309,28.9,14.2,18542,10733,11.8,8.3,50521,3654,28.5,(X),(X),(X),26.2,(X),(X),(X),33.7,(X),(X),(X)
1400000US12031012703,12031012703,"Census Tract 127.03, Duval County, Florida",1958,131,45111,7196,67.3,5.7,44600,5950,20.7,4.5,43375,40103,0.7,1.1,-,**,6.1,3.2,55294,47277,1.4,2.3,-,**,1.7,1.7,71964,21884,2,1.8,28523,75320,5.9,3.1,27614,70771,63.7,5.2,45750,6256,3.6,2.4,28688,16529,38.9,6.6,43378,18165,39.8,5.5,49609,10463,17.7,2.4,46635,9006,1493,161,46055,8921,52.3,7.7,32336,19854,47.7,7.7,50842,2757,55.6,9,53182,5631,36,9.6,27212,7098,8.4,4.9,53447,9756,465,145,42946,11449,51.6,16.6,34853,14418,47.7,16,38929,13604,3.9,6,-,**,48.4,16.6,53750,16056,45.6,16.9,53286,20183,2.8,4.9,-,**,28.9,(X),(X),(X),34.1,(X),(X),(X),9.9,(X),(X),(X)
